,koi_pdisposition,koi_impact,koi_duration,koi_depth,koi_ror,koi_srho,koi_prad,koi_teq,koi_insol,koi_dor,koi_num_transits,koi_steff,koi_slogg,koi_srad,koi_smass
0,1,0.146,2.9575,615.8,0.022344,3.20796,2.26,793.0,93.59,24.81,142.0,5455.0,4.467,0.927,0.919
1,1,0.586,4.507,874.8,0.027954000000000003,3.02368,2.83,443.0,9.11,77.9,25.0,5455.0,4.467,0.927,0.919
2,1,0.969,1.7822,10829.0,0.15404600000000002,7.29555,14.6,638.0,39.3,53.5,56.0,5853.0,4.544,0.868,0.961
3,0,1.276,2.4064099999999997,8079.2,0.387394,0.2208,33.46,1395.0,891.96,3.278,621.0,5805.0,4.564,0.791,0.836
4,1,0.701,1.6545,603.3,0.024064,1.98635,2.75,1406.0,926.16,8.75,515.0,6031.0,4.438,1.046,1.095
5,1,0.538,4.5945,1517.5,0.036779,0.67324,3.9,835.0,114.81,16.36,95.0,6046.0,4.486000000000001,0.972,1.053
6,1,0.762,3.1402,686.0,0.026133,0.37377,2.77,1160.0,427.65,6.96,240.0,6046.0,4.486000000000001,0.972,1.053
7,1,0.755,2.429,226.5,0.014983000000000002,0.48908999999999997,1.59,1360.0,807.74,5.54,355.0,6046.0,4.486000000000001,0.972,1.053
8,0,1.169,5.022,233.7,0.183387,0.00485,39.21,1342.0,767.22,2.4,185.0,6227.0,3.986,1.958,1.358
9,1,0.052,3.5347,4914.3,0.062161,3.6659,5.76,600.0,30.75,36.85,69.0,5031.0,4.485,0.848,0.801
10,1,0.818,1.7431900000000002,14231.0,0.12387100000000001,1.83538,13.04,1339.0,761.46,8.3977,432.0,5820.0,4.457,0.964,0.971
11,1,0.224,3.88864,6674.7,0.075522,0.37936,16.1,2048.0,4148.92,4.602,611.0,6440.0,4.019,1.952,1.449
12,1,0.631,3.19843,9145.7,0.092086,0.65374,14.59,1521.0,1264.67,7.541,384.0,6225.0,4.169,1.451,1.132
13,1,0.051,2.6302,131.1,0.010424,1.7745099999999998,1.16,1206.0,500.46,10.888,352.0,5833.0,4.407,1.022,0.974
14,0,2.483,3.6399,17984.0,1.625358,1.27376,150.51,753.0,75.88,20.75,96.0,5795.0,4.553999999999999,0.848,0.938
15,0,0.804,12.2155,8918.7,0.096729,0.03785,7.18,523.0,17.69,9.099,71.0,5043.0,4.591,0.68,0.657
16,0,1.065,4.798430000000001,74284.0,0.476633,1.57359,49.29,698.0,55.97,31.323,55.0,6117.0,4.496,0.947,1.025
17,0,0.292,9.4378,10479.0,0.09250900000000001,0.19353,7.94,595.0,29.61,14.05,66.0,5152.0,4.5169999999999995,0.786,0.741
18,1,0.387,3.2875,1288.3,0.032563,1.93557,2.47,649.0,41.85,20.65,144.0,4856.0,4.583,0.696,0.676
19,1,0.258,1.5821,1912.7,0.038838,13.09803,2.85,678.0,50.04,29.31,215.0,4537.0,4.648,0.672,0.761
20,0,0.044,3.6129,397.9,0.017672999999999998,0.51471,1.58,1066.0,305.34,5.827,501.0,4989.0,4.504,0.819,0.781
